STATE,STATE_CODE,YEAR,MONTH,MONTH_ID,VOL_SPEC_FUEL
Alabama,1,2022,January,1,84526284
Alabama,1,2022,February,2,72556101
Alabama,1,2022,March,3,72786317
Alabama,1,2022,April,4,88124224
Alabama,1,2022,May,5,75660861
Alabama,1,2022,June,6,77576012
Alabama,1,2022,July,7,83608141
Alabama,1,2022,August,8,74060057
Alabama,1,2022,September,9,77896033
Alabama,1,2022,October,10,86272592
Alabama,1,2022,November,11,79268541
Alabama,1,2022,December,12,74762224
Alabama,1,2021,January,1,86863402
Alabama,1,2021,February,2,76060463
Alabama,1,2021,March,3,71123473
Alabama,1,2021,April,4,95427212
Alabama,1,2021,May,5,84467666
Alabama,1,2021,June,6,81700065
Alabama,1,2021,July,7,90165825
Alabama,1,2021,August,8,78348016
Alabama,1,2021,September,9,78032016
Alabama,1,2021,October,10,85416555
Alabama,1,2021,November,11,83029358
Alabama,1,2021,December,12,79762017
Alabama,1,2020,January,1,71756656
Alabama,1,2020,February,2,69604061
Alabama,1,2020,March,3,64528328
Alabama,1,2020,April,4,71851105
Alabama,1,2020,May,5,62228986
Alabama,1,2020,June,6,64807515
Alabama,1,2020,July,7,74035794
Alabama,1,2020,August,8,72064844
Alabama,1,2020,September,9,72272433
Alabama,1,2020,October,10,81018004
Alabama,1,2020,November,11,83334635
Alabama,1,2020,December,12,76188620
Alaska,2,2022,January,1,10338805
Alaska,2,2022,February,2,12079005
Alaska,2,2022,March,3,6489019
Alaska,2,2022,April,4,5852831
Alaska,2,2022,May,5,6448938
Alaska,2,2022,June,6,15361320
Alaska,2,2022,July,7,21405223
Alaska,2,2022,August,8,24895415
Alaska,2,2022,September,9,13957650
Alaska,2,2022,October,10,13165184
Alaska,2,2022,November,11,4835134
Alaska,2,2022,December,12,8473127
Alaska,2,2021,January,1,11512518
Alaska,2,2021,February,2,11253402
Alaska,2,2021,March,3,8715309
Alaska,2,2021,April,4,10064548
Alaska,2,2021,May,5,4893857
Alaska,2,2021,June,6,8897120
Alaska,2,2021,July,7,16628043
Alaska,2,2021,August,8,25319396
Alaska,2,2021,September,9,8733414
Alaska,2,2021,October,10,9475796
Alaska,2,2021,November,11,10421217
Alaska,2,2021,December,12,10989019
Alaska,2,2020,January,1,13729314
Alaska,2,2020,February,2,3489893
Alaska,2,2020,March,3,6522262
Alaska,2,2020,April,4,4754224
Alaska,2,2020,May,5,3152511
Alaska,2,2020,June,6,9498837
Alaska,2,2020,July,7,11172803
Alaska,2,2020,August,8,28873900
Alaska,2,2020,September,9,15375562
Alaska,2,2020,October,10,11531283
Alaska,2,2020,November,11,4940255
Alaska,2,2020,December,12,4017253
Arizona,4,2022,January,1,75458277
Arizona,4,2022,February,2,87222788
Arizona,4,2022,March,3,109506640
Arizona,4,2022,April,4,82055013
Arizona,4,2022,May,5,96560743
Arizona,4,2022,June,6,95839906
Arizona,4,2022,July,7,68449033
Arizona,4,2022,August,8,94095406
Arizona,4,2022,September,9,100087605
Arizona,4,2022,October,10,72740386
Arizona,4,2022,November,11,100148140
Arizona,4,2022,December,12,96036369
Arizona,4,2021,January,1,82037786
Arizona,4,2021,February,2,86911594
Arizona,4,2021,March,3,108108200
Arizona,4,2021,April,4,78187593
Arizona,4,2021,May,5,101931813
Arizona,4,2021,June,6,101888305
Arizona,4,2021,July,7,80172360
Arizona,4,2021,August,8,88271174
Arizona,4,2021,September,9,92623683
Arizona,4,2021,October,10,76925387
Arizona,4,2021,November,11,90375893
Arizona,4,2021,December,12,87994274
Arizona,4,2020,January,1,73083047
Arizona,4,2020,February,2,81127169
Arizona,4,2020,March,3,84307528
Arizona,4,2020,April,4,58447398
Arizona,4,2020,May,5,74695279
Arizona,4,2020,June,6,80582247
Arizona,4,2020,July,7,68025494
Arizona,4,2020,August,8,90841622
Arizona,4,2020,September,9,86620789
Arizona,4,2020,October,10,82563211
Arizona,4,2020,November,11,87124565
Arizona,4,2020,December,12,89533473
Arkansas,5,2022,January,1,53788877
Arkansas,5,2022,February,2,67365657
Arkansas,5,2022,March,3,62088874
Arkansas,5,2022,April,4,52694573
Arkansas,5,2022,May,5,67853248
Arkansas,5,2022,June,6,63238633
Arkansas,5,2022,July,7,52739571
Arkansas,5,2022,August,8,68113272
Arkansas,5,2022,September,9,60388008
Arkansas,5,2022,October,10,60391203
Arkansas,5,2022,November,11,70543153
Arkansas,5,2022,December,12,57213595
Arkansas,5,2021,January,1,51050861
Arkansas,5,2021,February,2,64007199
Arkansas,5,2021,March,3,60773461
Arkansas,5,2021,April,4,56353407
Arkansas,5,2021,May,5,72752687
Arkansas,5,2021,June,6,56495669
Arkansas,5,2021,July,7,54758245
Arkansas,5,2021,August,8,74693707
Arkansas,5,2021,September,9,58685049
Arkansas,5,2021,October,10,57548390
Arkansas,5,2021,November,11,71373488
Arkansas,5,2021,December,12,59451531
Arkansas,5,2020,January,1,49906431
Arkansas,5,2020,February,2,63920012
Arkansas,5,2020,March,3,56059945
Arkansas,5,2020,April,4,46025707
Arkansas,5,2020,May,5,59129925
Arkansas,5,2020,June,6,53564765
Arkansas,5,2020,July,7,51948538
Arkansas,5,2020,August,8,63989255
Arkansas,5,2020,September,9,54618649
Arkansas,5,2020,October,10,55801812
Arkansas,5,2020,November,11,68077483
Arkansas,5,2020,December,12,56594523
California,6,2022,January,1,215107927
California,6,2022,February,2,224527158
California,6,2022,March,3,347351047
California,6,2022,April,4,234815681
California,6,2022,May,5,223864307
California,6,2022,June,6,362034194
California,6,2022,July,7,229964137
California,6,2022,August,8,250680798
California,6,2022,September,9,346339333
California,6,2022,October,10,248952896
California,6,2022,November,11,223544298
California,6,2022,December,12,411586831
California,6,2021,January,1,204193144
California,6,2021,February,2,205202825
California,6,2021,March,3,341981258
California,6,2021,April,4,257938666
California,6,2021,May,5,245307868
California,6,2021,June,6,347607519
California,6,2021,July,7,249546044
California,6,2021,August,8,258907965
California,6,2021,September,9,361539093
California,6,2021,October,10,247846211
California,6,2021,November,11,236334280
California,6,2021,December,12,411383949
California,6,2020,January,1,221014237
California,6,2020,February,2,213633139
California,6,2020,March,3,292341858
California,6,2020,April,4,197904939
California,6,2020,May,5,216116428
California,6,2020,June,6,308266775
California,6,2020,July,7,245809450
